Time,bcglpid01,bcglpiw01,bcocpl01,bcocpl02,bcocpl41,bcocpl42,bcpxkv01,bcpxkv02,bcpxkv03,bcrepo01
2022-01-03T18:40:00+07:00,0,0,0,0,0,0,0,0,0,0.01
2022-01-03T19:00:00+07:00,0,0,0,0,0,0,0.095,0.015,0.01,0.015
2022-01-03T19:20:00+07:00,0,0,0,0,0,0,0.015,0.005,0.0175,0.03
2022-01-03T19:40:00+07:00,0,0,0.005,0,0,0,0.005,0,0,0.035
2022-01-03T20:00:00+07:00,0,0,0,0,0,0,0,0.015,0.0025,0.07
2022-01-03T20:20:00+07:00,0,0.005,0,0,0,0,0,0.0075,0,0.06
2022-01-03T20:40:00+07:00,0,0,0,0,0,0,0.0025,0,0.015,0.025
2022-01-03T21:00:00+07:00,0,0,0,0,0,0,0.0125,0.005,0.0025,0.045
2022-01-03T21:20:00+07:00,0,0,0,0,0,0,0.0875,0,0.0025,0.08
2022-01-03T21:40:00+07:00,0,0,0,0,0,0,0,0.0025,0,0.025
2022-01-03T22:00:00+07:00,0,0,0,0,0.02,0,0,0,0.12,0.02
2022-01-03T22:20:00+07:00,0,0.085,0,0,0,0,0,0.01,0,0.01
2022-01-03T22:40:00+07:00,0,0,0,0,0,0,0.0025,0.0125,0.0075,0
2022-01-03T23:00:00+07:00,0,0,0.025,0,0,0,0.02,0,0.07,0.01
2022-01-03T23:20:00+07:00,0,0,0,0,0,0,0.025,0,0.03,0.005
2022-01-03T23:40:00+07:00,0,0,0,0,0.01,0,0.0025,0.0025,0,0.03
2022-01-04T00:00:00+07:00,0,0,0,0,0,0,0,0,0.005,0.095
2022-01-04T00:20:00+07:00,0,0,0,0,0,0,0.02,0.0925,0.015,0.025
2022-01-04T00:40:00+07:00,0,0,0,0,0,0,0,0.0075,0.0425,0.025
2022-01-04T01:00:00+07:00,0,0,0,0,0.025,0,0,0.005,0,0.01
2022-01-04T01:20:00+07:00,0.001666667,0,0,0.01,0.02,0,0,0.015,0,0.005
2022-01-04T01:40:00+07:00,0,0,0,0,0,0,0.0225,0,0.0075,0
2022-01-04T02:00:00+07:00,0,0,0,0.005,0.03,0,0.0075,0.015,0,0.02
2022-01-04T02:20:00+07:00,0,0,0.04,0,0.005,0,0.01,0.04,0,0.03
2022-01-04T02:40:00+07:00,0,0,0,0,0,0,0,0.08,0.0075,0
2022-01-04T03:00:00+07:00,0,0,0,0,0,0,0.0275,0.005,0,0.015
2022-01-04T03:20:00+07:00,0,0,0,0,0,0,0.06,0.0125,0.05,0.015
